PC1,PC2,PC3,RecordID
-3.4635383630213123,-1.9392916473495556,-3.2173932067296507,1
-3.471171282453469,-2.246273380008039,-3.372428738913959,1
-2.884211417696252,-2.4401041441701796,-3.2320504764228986,1
-3.2808625937827447,-2.4217030590342525,-3.5550316665733437,1
-3.0186887731954144,-2.7000400376046088,-3.810967847287903,1
-2.563366759068699,-2.5958108490672007,-4.040954241168916,1
-2.661600303980068,-2.6848372005812524,-3.688743276384596,1
-2.790471214756867,-1.94978805520164,-3.125182280647034,1
-2.7088246351364726,-2.3434493043012474,-2.887046534233819,1
-3.2672891672226694,-2.8746775663180006,-3.9644460331594966,1
-3.151450028844298,-2.3073749100717813,-4.075897807133037,1
-3.089365290010929,-2.0411238502128053,-3.014535423560121,1
-3.1294516706012767,-2.7679363231581133,-3.6308393654783986,1
-3.351596490558695,-3.026909464328657,-3.6784430937202095,1
-2.8757826939931665,-2.3163781664049448,-3.6777201616813873,1
-3.7543260507723257,-2.7519975689366594,-4.241374977492971,1
-2.7104098983470086,-2.0843312799901064,-2.680578557978387,1
-3.48847776622503,-2.6170323200726426,-3.2803090023234653,1
-3.2540198461928327,-2.28980176902632,-3.7439658492147765,1
-4.0754534412450605,-0.9057361756096899,-2.076307429981692,1
-2.9819372059458784,-2.1311069146255877,-2.9701750680449366,1
-2.6989998308315704,-1.9977289628828057,-3.6393974204599955,1
-2.997162313661167,-2.319794025159378,-3.2918567142970425,1
-3.402224918799438,-2.168694435226325,-3.1051050608532615,1
-3.1814568907406975,-2.6413987949443944,-3.053208400815489,1
-3.0207087051413786,-2.058158797770209,-2.7438618318180295,1
-3.171229690867212,-2.3462182924197794,-2.8788492836432753,1
-2.618886000626276,-2.0492257126083198,-3.4457239092688017,1
-3.127976157649165,-2.3090313117844703,-3.3159875459114367,1
-3.128179870292898,-2.503190607787321,-2.7997687166366045,1
-2.9559661749470125,-1.8182236692134586,-3.207068286969507,1
-3.1065327983725175,-2.51102802818143,-3.1339832285228537,1
-3.121538668588855,-2.488260942087863,-3.3721783323592294,1
-3.146245799682221,-2.459886973917485,-3.492527246932931,1
-2.8197415259721774,-2.4123937034206797,-2.6444967072402954,1
-3.223488068814618,-2.9191887038209865,-3.5544229261198192,1
-2.7354632348519314,-2.52388925473269,-2.8023573647702387,1
-3.038167535879821,-2.166841632889691,-3.4147316938993875,1
-3.2283132486899877,-2.401807114491001,-3.7486822899513843,1
-2.873735516189084,-2.4020175126887824,-2.8098344736839427,1
-3.217478486801172,-2.311447047883944,-3.272049855300397,1
-3.7102042014615497,-3.6882429631957807,-3.281159210298582,1
-3.388602974125957,-2.766218574122348,-4.057229690453643,1
-3.021356897603082,-2.3394019262143537,-3.120531248162127,1
-3.503129885423247,-2.6493814258125363,-3.4966320112480225,1
-3.1793017355840756,-2.6451475154664674,-3.5609649640818035,1
-2.3985620940945434,-1.8950039491902257,-1.6014672872106455,1
-2.585033917185689,-1.614153127020555,-1.706052036306993,1
-2.988265691369809,-2.0123056730627096,-3.136358689173075,1
-2.7626111312606536,-2.123309059048355,-2.8534074411296735,1
-2.9200917984847643,-2.1455646028282525,-2.9971885359557926,1
-3.0911487366057027,-2.314914168780114,-2.6087803303524444,1
-3.23763931197161,-1.2405542020052733,-5.5072157793197105,2
